No,Length(mm),Width(mm),Thickness(mm),Weight(g)
1,85,57,48,380.7
2,81,65,31,250.6
3,93,61,37,315.4
4,95,60,30,271.1
5,77,59,42,311.5
6,100,74,28,362.9
7,108,71,39,459.8
8,97,66,48,385.8
9,104,61,36,343.9
10,111,79,39,514.4
11,124,75,46,711.1
12,131,93,71,1360.3
13,115,84,80,1085.2
14,109,72,60,751.9
15,110,66,38,464.6
16,136,67,40,574.6
17,101,66,42,447.8
18,88,68,46,421.1
19,82,64,58,447
20,92,67,40,366.7
21,87,60,33,261.5
22,103,56,35,301.1
23,77,59,48,369.1
24,106,55,39,350.3
25,115,72,51,680.7
26,89,77,57,615.9
27,94,76,41,469.1
28,91,64,46,394
29,92,62,42,352.6
30,93,66,45,429.5
31,95,56,42,355.3
32,96,58,38,339.9
33,88,66,43,401.2
34,83,66,37,294.3
35,88,68,54,499.3
36,96,59,44,355.9
37,107,60,42,384
38,77,62,38,285.9
39,119,70,51,649.8
40,102,66,43,412.1
41,98,72,43,439.3
42,96,71,33,330
43,76,67,41,319.9
44,92,54,25,213.1
45,103,49,32,262.6
46,109,69,37,416.2
47,84,62,42,289.7
48,94,78,34,408.3
49,108,57,31,396.2
50,101,71,40,433.7
51,105,72,37,416.6
52,115,74,30,472.2
53,97,71,30,320.6
54,114,70,29,414.9
55,118,57,42,437
56,90,70,51,520.8
57,127,48,35,359.9
58,110,50,33,280.2
59,89,73,40,385.7
60,89,77,51,524.7
61,120,93,64,1087
62,84,65,44,382.6
63,87,71,42,381.9
64,95,75,45,492.9
65,103,63,44,416.9
66,86,75,40,358.8
67,84,72,36,341.9
68,81,68,52,381.5
69,79,78,49,449.5
70,108,63,37,410
71,79,72,39,326.4
72,96,69,34,345.7
73,101,74,34,395.8
74,80,75,51,462.2
75,98,69,48,462
76,87,71,35,326.4
77,99,75,42,493.5
78,81,71,37,344.2
79,85,71,50,392
80,86,62,45,378.2
81,96,62,37,350.5
82,93,64,43,337.8
83,86,61,38,292.2
84,81,69,42,319.1
85,94,68,33,313.1
86,92,69,47,435.6
87,98,64,45,422.9
88,94,76,37,397.5
89,74,65,33,249.7
90,108,58,48,438.1
